isin,name,ticker,size,asset_class,currency,domicile_country,hedged,dividends,ter,number_of_holdings,index,symbol
IE000D8XC064,iShares World Equity Enhanced Active UCITS ETF USD (Acc),WOEE,1246.0,equity,USD,Ireland,False,Accumulating,0.3,566.0,iShares World Equity Enhanced Active,
IE000DNSAS54,Xtrackers MSCI Emerging Markets Climate Transition UCITS ETF 1C,XEMC,119.0,equity,USD,Ireland,False,Accumulating,0.16,685.0,MSCI Emerging Markets Select Sustainability Screened CTB,
IE000DR59CI3,iShares Energy Storage & Hydrogen UCITS ETF USD (Acc),STOR,10.0,equity,USD,Ireland,False,Accumulating,0.5,59.0,STOXX Global Energy Storage and Hydrogen,
IE000DSDL3Z6,JPMorgan All Country Research Enhanced Index Equity Active UCITS ETF CHF Hedged (acc),JRWC,2.0,equity,CHF,Ireland,True,Accumulating,0.25,1032.0,JP Morgan All Country Research Enhanced Index Equity Active (CHF Hedged),
IE000DVHJV46,Xtrackers S&P 500 Market Leaders UCITS ETF 1C,XUML,4.0,equity,USD,Ireland,False,Accumulating,0.25,51.0,S&P 500 Market Leaders,
IE000DVLBQ03,iShares S&P 500 Equal Weight UCITS ETF EUR Hedged (Acc),EFRW,142.0,equity,EUR,Ireland,True,Accumulating,0.17,504.0,S&P 500® Equal Weight (EUR Hedged),
IE000E0V65D8,Xtrackers World Biodiversity Focus SRI UCITS ETF 1C,XBI0,16.0,equity,USD,Ireland,False,Accumulating,0.3,672.0,ISS STOXX® Developed World Biodiversity Focus SRI,
IE000E66LX20,AXA IM ACT Climate Equity UCITS ETF EUR Hedged Acc,ACLE,134.0,equity,EUR,Ireland,True,Accumulating,0.7,98.0,AXA IM ACT Climate Equity (EUR Hedged),
IE000E6TPCH9,Invesco S&P 500 Quality UCITS ETF Acc,QSPA,4.0,equity,USD,Ireland,False,Accumulating,0.2,97.0,S&P 500 Quality,
IE000E7EI9P0,Amundi S&P Global Information Technology ESG UCITS ETF DR EUR (A),WELU,607.0,equity,EUR,Ireland,False,Accumulating,0.18,108.0,S&P Developed Ex-Korea LargeMidCap Sustainability Enhanced Information Technology,
IE000E9W0ID3,iShares MSCI Global Telecommunication Services UCITS ETF USD (Acc),F4R0,6.0,equity,USD,Ireland,False,Accumulating,0.35,51.0,MSCI ACWI Telecommunication Services Screened 35/20 Capped,
IE000EBPC0Z7,Franklin MSCI China Paris Aligned Climate UCITS ETF ,FVCH,7.0,equity,USD,Ireland,False,Accumulating,0.22,108.0,MSCI China Climate Paris Aligned,
IE000EFHIFG3,Amundi S&P Global Communication Services ESG UCITS ETF DR EUR (A),WELX,247.0,equity,EUR,Ireland,False,Accumulating,0.18,52.0,S&P Developed Ex-Korea LargeMidCap Sustainability Enhanced Communication Services,
IE000EJ2EHO7,UBS Factor MSCI World Selection Minimum Volatility UCITS ETF USD acc,CSY9,238.0,equity,USD,Ireland,False,Accumulating,0.25,192.0,MSCI World Selection Minimum Volatility,CSY9.DE
IE000ER61U30,Xtrackers MSCI Europe Small Cap ESG UCITS ETF 1C Capitalisation,XZSE,7.0,equity,EUR,Ireland,False,Accumulating,0.25,633.0,MSCI Europe Small Cap Low Carbon SRI Screened Select,
IE000F0DNOJ1,UBS MSCI World Selection UCITS ETF hCHF acc,WDESGC,269.0,equity,CHF,Ireland,True,Accumulating,0.18,649.0,MSCI World Selection (CHF Hedged),
IE000F354Q61,Xtrackers MSCI World Small Cap UCITS ETF 1C,XSWC,81.0,equity,USD,Ireland,False,Accumulating,0.25,633.0,MSCI World Small Cap,
IE000F60HVH9,Amundi MSCI USA Screened UCITS ETF Acc,USAS,426.0,equity,USD,Ireland,False,Accumulating,0.05,490.0,MSCI USA Screened Select ex Thermal Coal,CCUSAS.MI
IE000F7TZ3H9,JPMorgan US Research Enhanced Index Equity SRI Paris Aligned UCITS ETF CHF Hedged (acc),JSHC,8.0,equity,CHF,Ireland,True,Accumulating,0.2,178.0,JP Morgan US Research Enhanced Index Equity SRI Paris Aligned (CHF Hedged),
IE000FCGBU62,Amundi S&P Global Materials ESG UCITS ETF DR EUR (A),WELI,693.0,equity,EUR,Ireland,False,Accumulating,0.18,77.0,S&P Developed Ex-Korea LargeMidCap Sustainability Enhanced Materials,
