isin,name,ticker,size,asset_class,currency,domicile_country,hedged,dividends,ter,number_of_holdings,index,symbol,1 year,3 year,5 year
IE0009WWNY77,UBS S&P 500 Climate Transition ESG UCITS ETF hEUR acc,BCFG,1.0,equity,EUR,Ireland,True,Accumulating,0.1,309.0,S&P 500® Climate Transition Base ESG (EUR Hedged),,+8.70%,-,-
IE0009Y1MQJ2,iShares World Equity Factor Rotation Active UCITS ETF USD (Acc),FCRN,244.0,equity,USD,Ireland,False,Accumulating,0.3,148.0,iShares World Equity Factor Rotation Active,,-0.98%,-,-
IE0009YQE5W1,JPMorgan UK Equity Core UCITS ETF GBP (acc),JUKC,416.0,equity,GBP,Ireland,False,Accumulating,0.25,144.0,JP Morgan UK Equity Core,,+19.19%,+48.84%,-
IE000A0GH076,BNP Paribas Easy MSCI World UCITS ETF EUR Acc,ESAN,63.0,equity,EUR,Ireland,False,Accumulating,0.05,1319.0,MSCI World,,-,-,-
IE000A7N3IV0,JPMorgan All Country Research Enhanced Index Equity Active UCITS ETF USD (acc),JRWA,172.0,equity,USD,Ireland,False,Accumulating,0.25,1032.0,JP Morgan All Country Research Enhanced Index Equity Active,,+5.20%,-,-
IE000A89Y2G7,iShares MSCI World Utilities Sector Advanced UCITS ETF USD (Acc),WUTS,7.0,equity,USD,Ireland,False,Accumulating,0.18,55.0,MSCI World Utilities Advanced Select 20 35 Capped,,-,-,-
IE000ALI2E45,BNP Paribas Easy MSCI World Equal Weight Select UCITS ETF USD Acc,ESAF,22.0,equity,USD,Ireland,False,Accumulating,0.2,1048.0,MSCI World Equal Weighted Ex Business Involvement Screens Select,,-,-,-
IE000AN3AFZ1,Jupiter Origin Global Smaller Companies Active UCITS ETF (Acc),JOGS,1.0,equity,USD,Ireland,False,Accumulating,0.45,181.0,Jupiter Origin Global Smaller Companies Active,,-,-,-
IE000ANHU3J3,JPMorgan Global Emerging Markets Research Enhanced Index Equity SRI Paris Aligned Active UCITS ETF USD (acc),JMES,116.0,equity,USD,Ireland,False,Accumulating,0.3,280.0,JP Morgan Global Emerging Markets Research Enhanced Index Equity SRI Paris Aligned Active,,-,-,-
IE000ATRYEA4,iShares MSCI USA SRI UCITS ETF EUR Hedged (Acc),CEMI,6.0,equity,EUR,Ireland,True,Accumulating,0.23,153.0,MSCI USA SRI Select Reduced Fossil Fuels (EUR Hedged),,-,-,-
IE000AV35A01,JPMorgan Global Emerging Markets Research Enhanced Index Equity SRI Paris Aligned Active UCITS ETF EUR (acc),JESM,2.0,equity,EUR,Ireland,False,Accumulating,0.3,280.0,JP Morgan Global Emerging Markets Research Enhanced Index Equity SRI Paris Aligned Active,,-,-,-
IE000AZOUN82,Franklin MSCI World Catholic Principles UCITS ETF USD Capitalisation,FLXA,149.0,equity,USD,Ireland,False,Accumulating,0.27,629.0,MSCI World Select Catholic Principles ESG Universal and Low Carbon,,+1.73%,-,-
IE000AZV0AS3,Amundi MSCI World IMI Value Advanced UCITS ETF Acc,WMMS,193.0,equity,USD,Ireland,False,Accumulating,0.25,344.0,MSCI World IMI Value Advanced Target,,+16.90%,-,-
IE000BAF6X29,UBS MSCI Pacific ex Japan IMI Socially Responsible UCITS ETF hEUR acc,PEXE,2.0,equity,EUR,Ireland,True,Accumulating,0.22,137.0,MSCI Pacific ex Japan IMI Extended SRI Low Carbon Select 5% Issuer Capped (EUR Hedged),,+11.65%,+28.91%,-
IE000BI8OT95,Amundi Core MSCI World UCITS ETF Acc,MWRE,12149.0,equity,USD,Ireland,False,Accumulating,0.12,1321.0,MSCI World,,+3.18%,-,-
IE000BKMMHF9,UBS MSCI Pacific ex Japan IMI Socially Responsible UCITS ETF USD acc,BCFB,4.0,equity,USD,Ireland,False,Accumulating,0.19,137.0,MSCI Pacific ex Japan IMI Extended SRI Low Carbon Select 5% Issuer Capped,,+5.54%,+19.66%,-
IE000BO2Y0T8,Xtrackers MSCI Nordic UCITS ETF 1C,XMN1,41.0,equity,EUR,Ireland,False,Accumulating,0.3,80.0,MSCI Nordic Countries,,+4.37%,-,-
IE000BRM9046,Invesco Defence Innovation UCITS ETF Acc,IVDF,98.0,equity,USD,Ireland,False,Accumulating,0.35,56.0,S&P Kensho Global Future Defense,,+49.44%,-,-
IE000BXC49I6,JPMorgan Global Research Enhanced Index Equity SRI Paris Aligned UCITS ETF USD (acc),JGSC,213.0,equity,USD,Ireland,False,Accumulating,0.25,423.0,JP Morgan Global Research Enhanced Index Equity SRI Paris Aligned,,+2.83%,-,-
IE000BZ1HVL2,SPDR MSCI World UCITS ETF EUR Hedged (Acc),SPFH,688.0,equity,EUR,Ireland,True,Accumulating,0.17,1311.0,MSCI World (EUR Hedged),,+12.47%,-,-
IE000BZFW5H7,JPMorgan Active US Equity UCITS ETF EUR Hedged (acc),JAUH,5.0,equity,EUR,Ireland,True,Accumulating,0.4,74.0,JPMorgan Active US Equity (EUR Hedged),,+7.22%,-,-
IE000C5YJ791,iShares MSCI USA Leaders UCITS ETF USD (Acc),ULDE,13.0,equity,USD,Ireland,False,Accumulating,0.12,279.0,MSCI USA Leaders Select,,+1.01%,-,-
IE000C692SN6,HSBC MSCI World Small Cap Screened UCITS ETF USD (Acc),H41G,124.0,equity,USD,Ireland,False,Accumulating,0.25,1140.0,MSCI World Small Cap Selection Screens,,+5.80%,+26.57%,-
IE000C7DDDX4,Franklin FTSE Saudi Arabia UCITS ETF,FLXS,3.0,equity,USD,Ireland,False,Accumulating,0.39,70.0,FTSE Saudi Arabia 30/18 Capped,,-15.07%,-,-
IE000CBYU7J5,L&G Emerging Markets ESG Exclusions Paris Aligned UCITS ETF USD Accumulating ETF,BATI,112.0,equity,USD,Ireland,False,Accumulating,0.25,1282.0,Foxberry Sustainability Consensus Emerging Markets,,+26.93%,-,-
IE000CFH1JX2,iShares Global Water UCITS ETF USD (Acc),6II0,48.0,equity,USD,Ireland,False,Accumulating,0.65,63.0,S&P Global Water,,+6.49%,+26.77%,-
IE000CK5G8J7,iShares Global Infrastructure UCITS ETF USD (Acc),CBUX,78.0,equity,USD,Ireland,False,Accumulating,0.65,265.0,FTSE Global Core Infrastructure,,+7.41%,-,-
IE000CL68Z69,Amundi MSCI World Climate Paris Aligned UCITS ETF Acc,PABW,1380.0,equity,USD,Ireland,False,Accumulating,0.2,499.0,MSCI World Climate Paris Aligned Filtered,PABW.BE,-0.46%,-,-
IE000CM02H85,Franklin FTSE Taiwan UCITS ETF SINGLCLASS,FLXT,141.0,equity,USD,Ireland,False,Accumulating,0.19,128.0,FTSE Taiwan 30/18 Capped,,+35.05%,+98.95%,-
IE000CN8T855,JPMorgan US Research Enhanced Index Equity (ESG) UCITS ETF EUR Hedged (acc),JUHE,1074.0,equity,EUR,Ireland,True,Accumulating,0.2,240.0,JP Morgan US Research Enhanced Index Equity (ESG) (EUR Hedged),,+10.41%,+61.15%,-
IE000COQKPO9,Invesco Nasdaq-100 ESG UCITS ETF Acc,N1ES,2040.0,equity,USD,Ireland,False,Accumulating,0.25,91.0,Nasdaq 100® ESG,,-0.46%,+81.68%,-
IE000CQQ22C8,JPMorgan Active US Value UCITS ETF EUR Hedged (acc),JPVE,4.0,equity,EUR,Ireland,True,Accumulating,0.49,153.0,JPMorgan Active US Value (EUR Hedged),,+12.46%,-,-
IE000CR7DJI8,iShares S&P 500 Scored and Screened UCITS ETF EUR Hedged (Acc),CBUM,317.0,equity,EUR,Ireland,True,Accumulating,0.1,314.0,S&P 500 Scored & Screened (EUR Hedged),,+13.01%,+62.90%,-
IE000CVOSY02,Franklin FTSE Developed World UCITS ETF USD Capitalisation,DWLD,17.0,equity,USD,Ireland,False,Accumulating,0.09,1416.0,FTSE Developed,,+4.82%,-,-
IE000CXVOXQ1,WisdomTree US Quality Dividend Growth UCITS ETF - EUR Hedged Acc,WDGE,41.0,equity,EUR,Ireland,True,Accumulating,0.35,300.0,WisdomTree US Quality Dividend Growth (EUR Hedged),,+9.16%,-,-
IE000CY30YV9,First Trust US Momentum UCITS ETF Class A Accumulation,FTGM,71.0,equity,USD,Ireland,False,Accumulating,0.6,180.0,iNDEX US Momentum,,+7.05%,-,-
IE000D0T0BO1,Franklin FTSE Japan UCITS ETF (Acc),FLXJ,9.0,equity,JPY,Ireland,False,Accumulating,0.09,485.0,FTSE Japan,,+25.43%,-,-
IE000D5R9C23,iShares Asia ex Japan Equity Enhanced Active UCITS ETF USD (Acc),AZEH,64.0,equity,USD,Ireland,False,Accumulating,0.3,289.0,iShares Asia ex Japan Equity Enhanced Active,,+25.84%,-,-
IE000D8FCSD8,iShares Listed Private Equity UCITS ETF USD (Acc),CBUW,91.0,equity,USD,Ireland,False,Accumulating,0.75,94.0,S&P Listed Private Equity,,-19.19%,+31.57%,-
IE000D8XC064,iShares World Equity Enhanced Active UCITS ETF USD (Acc),WOEE,1246.0,equity,USD,Ireland,False,Accumulating,0.3,566.0,iShares World Equity Enhanced Active,,+3.55%,-,-
IE000DNSAS54,Xtrackers MSCI Emerging Markets Climate Transition UCITS ETF 1C,XEMC,119.0,equity,USD,Ireland,False,Accumulating,0.16,685.0,MSCI Emerging Markets Select Sustainability Screened CTB,,+25.71%,-,-
IE000DR59CI3,iShares Energy Storage & Hydrogen UCITS ETF USD (Acc),STOR,10.0,equity,USD,Ireland,False,Accumulating,0.5,59.0,STOXX Global Energy Storage and Hydrogen,,+48.47%,-,-
IE000DSDL3Z6,JPMorgan All Country Research Enhanced Index Equity Active UCITS ETF CHF Hedged (acc),JRWC,2.0,equity,CHF,Ireland,True,Accumulating,0.25,1032.0,JP Morgan All Country Research Enhanced Index Equity Active (CHF Hedged),,+17.73%,-,-
IE000DVHJV46,Xtrackers S&P 500 Market Leaders UCITS ETF 1C,XUML,4.0,equity,USD,Ireland,False,Accumulating,0.25,51.0,S&P 500 Market Leaders,,-,-,-
IE000DVLBQ03,iShares S&P 500 Equal Weight UCITS ETF EUR Hedged (Acc),EFRW,142.0,equity,EUR,Ireland,True,Accumulating,0.17,504.0,S&P 500® Equal Weight (EUR Hedged),,-,-,-
IE000E0V65D8,Xtrackers World Biodiversity Focus SRI UCITS ETF 1C,XBI0,16.0,equity,USD,Ireland,False,Accumulating,0.3,672.0,ISS STOXX® Developed World Biodiversity Focus SRI,,+1.11%,-,-
IE000E66LX20,AXA IM ACT Climate Equity UCITS ETF EUR Hedged Acc,ACLE,134.0,equity,EUR,Ireland,True,Accumulating,0.7,98.0,AXA IM ACT Climate Equity (EUR Hedged),,+20.39%,+46.80%,-
IE000E6TPCH9,Invesco S&P 500 Quality UCITS ETF Acc,QSPA,4.0,equity,USD,Ireland,False,Accumulating,0.2,97.0,S&P 500 Quality,,-,-,-
IE000E7EI9P0,Amundi S&P Global Information Technology ESG UCITS ETF DR EUR (A),WELU,607.0,equity,EUR,Ireland,False,Accumulating,0.18,108.0,S&P Developed Ex-Korea LargeMidCap Sustainability Enhanced Information Technology,,+1.88%,+92.06%,-
IE000E9W0ID3,iShares MSCI Global Telecommunication Services UCITS ETF USD (Acc),F4R0,6.0,equity,USD,Ireland,False,Accumulating,0.35,51.0,MSCI ACWI Telecommunication Services Screened 35/20 Capped,,+8.76%,-,-
IE000EBPC0Z7,Franklin MSCI China Paris Aligned Climate UCITS ETF ,FVCH,7.0,equity,USD,Ireland,False,Accumulating,0.22,108.0,MSCI China Climate Paris Aligned,,+4.11%,-1.63%,-
IE000EFHIFG3,Amundi S&P Global Communication Services ESG UCITS ETF DR EUR (A),WELX,247.0,equity,EUR,Ireland,False,Accumulating,0.18,52.0,S&P Developed Ex-Korea LargeMidCap Sustainability Enhanced Communication Services,,+1.23%,+88.79%,-
IE000EJ2EHO7,UBS Factor MSCI World Selection Minimum Volatility UCITS ETF USD acc,CSY9,238.0,equity,USD,Ireland,False,Accumulating,0.25,192.0,MSCI World Selection Minimum Volatility,CSY9.DE,-4.80%,-,-
IE000ER61U30,Xtrackers MSCI Europe Small Cap ESG UCITS ETF 1C Capitalisation,XZSE,7.0,equity,EUR,Ireland,False,Accumulating,0.25,633.0,MSCI Europe Small Cap Low Carbon SRI Screened Select,,-,-,-
IE000F0DNOJ1,UBS MSCI World Selection UCITS ETF hCHF acc,WDESGC,269.0,equity,CHF,Ireland,True,Accumulating,0.18,649.0,MSCI World Selection (CHF Hedged),,+16.99%,-,-
IE000F354Q61,Xtrackers MSCI World Small Cap UCITS ETF 1C,XSWC,81.0,equity,USD,Ireland,False,Accumulating,0.25,633.0,MSCI World Small Cap,,-,-,-
IE000F60HVH9,Amundi MSCI USA Screened UCITS ETF Acc,USAS,426.0,equity,USD,Ireland,False,Accumulating,0.05,490.0,MSCI USA Screened Select ex Thermal Coal,CCUSAS.MI,-,-,-
IE000F7TZ3H9,JPMorgan US Research Enhanced Index Equity SRI Paris Aligned UCITS ETF CHF Hedged (acc),JSHC,8.0,equity,CHF,Ireland,True,Accumulating,0.2,178.0,JP Morgan US Research Enhanced Index Equity SRI Paris Aligned (CHF Hedged),,+9.54%,-,-
IE000FCGBU62,Amundi S&P Global Materials ESG UCITS ETF DR EUR (A),WELI,693.0,equity,EUR,Ireland,False,Accumulating,0.18,77.0,S&P Developed Ex-Korea LargeMidCap Sustainability Enhanced Materials,,+19.70%,+34.81%,-
IE000FF2EBQ8,BNP Paribas Easy ECPI Global ESG Infrastructure UCITS ETF EUR Capitalisation,XU61,342.0,equity,EUR,Ireland,False,Accumulating,0.31,100.0,ECPI Global ESG Infrastructure Equity,XU61.BE,+21.24%,-,-
IE000FJJZA01,SPDR S&P 500 Quality Aristocrats UCITS ETF USD Unhedged (Acc),QUS5,568.0,equity,USD,Ireland,False,Accumulating,0.25,100.0,S&P 500 Quality FCF Aristocrats,,-1.29%,-,-
IE000FNVOB27,HSBC MSCI Emerging Markets Climate Paris Aligned UCITS ETF,HP8E,30.0,equity,USD,Ireland,False,Accumulating,0.18,340.0,MSCI Emerging Markets Climate Paris Aligned,,+22.13%,+38.45%,-
IE000FSN19U2,Amundi Core MSCI USA UCITS ETF Acc,WEBH,2717.0,equity,USD,Ireland,False,Accumulating,0.03,545.0,MSCI USA,,-0.53%,+55.80%,+82.96%
IE000G2LIHG9,iShares MSCI USA Screened UCITS ETF EUR Hedged (Acc),SAUA,924.0,equity,EUR,Ireland,True,Accumulating,0.1,495.0,MSCI USA Screened (EUR Hedged),,+9.23%,+64.67%,-
IE000GLIXPP3,AXA IM MSCI Emerging Markets Equity PAB UCITS ETF USD Acc,AIQT,19.0,equity,USD,Ireland,False,Accumulating,0.24,296.0,MSCI Emerging Markets Climate Paris Aligned,,+22.70%,-,-
IE000GOJO2A3,Vanguard ESG Developed Asia Pacific All Cap UCITS ETF (USD) Accumulating,V3PA,202.0,equity,USD,Ireland,False,Accumulating,0.17,1998.0,FTSE Developed Asia Pacific All Cap Choice,,+27.05%,+50.09%,-
IE000H1H16W5,iShares MSCI World Value Factor Advanced UCITS ETF USD (Acc),CBUI,351.0,equity,USD,Ireland,False,Accumulating,0.25,241.0,MSCI World Value Advanced Select,,+19.70%,+56.83%,-
IE000H7PE775,Amundi Core MSCI World UCITS ETF EUR Hedged Acc,MWHE,46.0,equity,EUR,Ireland,True,Accumulating,0.14,1321.0,MSCI World (EUR Hedged),,-,-,-
IE000HARJEE2,iShares Core FTSE 100 UCITS ETF EUR Hedged (Acc),CEB4,42.0,equity,EUR,Ireland,True,Accumulating,0.1,102.0,FTSE 100 (EUR Hedged),,+21.09%,-,-
IE000HT7E0B1,Xtrackers Nordic Net Zero Pathway Paris Aligned UCITS ETF 1C,XNZN,156.0,equity,EUR,Ireland,False,Accumulating,0.15,180.0,Solactive ISS ESG Nordic Investable Universe Net Zero Pathway,,-6.44%,-,-
IE000I5MBLC4,JPMorgan US Research Enhanced Index Equity SRI Paris Aligned UCITS ETF EUR (acc),JEUS,65.0,equity,EUR,Ireland,False,Accumulating,0.2,178.0,JP Morgan US Research Enhanced Index Equity SRI Paris Aligned,,-4.29%,-,-
IE000I8IKC59,Invesco MSCI Japan ESG Climate Paris Aligned UCITS ETF Acc,PAUJ,62.0,equity,USD,Ireland,False,Accumulating,0.15,55.0,MSCI Japan ESG Climate Paris Aligned Benchmark Select,,+11.35%,+30.47%,-
IE000I8KRLL9,iShares MSCI Global Semiconductors UCITS ETF USD (Acc),SEC0,1679.0,equity,USD,Ireland,False,Accumulating,0.35,252.0,MSCI ACWI IMI Semiconductors & Semiconductor Equipment ESG Screened Select Capped,,+54.66%,+160.74%,-
IE000I9HGDZ3,Xtrackers MSCI World Screened UCITS ETF 1C,XWSC,64.0,equity,USD,Ireland,False,Accumulating,0.19,1178.0,MSCI World Select Screened,,-,-,-
IE000IDLWOL4,Xtrackers S&P 500 Equal Weight Scored & Screened UCITS ETF 2C - EUR Hedged,XEWE,687.0,equity,EUR,Ireland,True,Accumulating,0.22,279.0,S&P 500 Equal Weight Scored & Screened (EUR Hedged),,+12.32%,-,-
IE000IF5WTI9,Ossiam Bloomberg USA PAB UCITS ETF 1A/A (USD),OP7U,2.0,equity,USD,Ireland,False,Accumulating,0.12,364.0,Bloomberg PAB US Large & Mid Cap,,-5.83%,-,-
IE000IIED424,Ossiam Bloomberg USA PAB UCITS ETF 1A (EUR),OP7E,415.0,equity,EUR,Ireland,False,Accumulating,0.12,364.0,Bloomberg PAB US Large & Mid Cap,,-5.95%,+41.20%,-
IE000IISJT64,SPDR S&P Developed Quality Aristocrats UCITS ETF USD Unhedged (Acc),QDEV,44.0,equity,USD,Ireland,False,Accumulating,0.35,100.0,S&P Developed Quality FCF Aristocrats,,-2.18%,-,-
IE000IM4K4K2,Franklin AI Metaverse and Blockchain UCITS ETF,FLRA,18.0,equity,USD,Ireland,False,Accumulating,0.3,75.0,Solactive Global Metaverse Innovation,,-9.85%,+69.87%,-
IE000IP0UC52,Amundi MSCI USA ESG Selection UCITS ETF EUR Hedged Acc,SADH,269.0,equity,EUR,Ireland,True,Accumulating,0.17,286.0,MSCI USA ESG Selection P-Series 5% Issuer Capped (EUR Hedged),SADH.DE,+9.86%,+52.88%,+55.36%
IE000IVQPCG4,Ossiam Bloomberg World PAB UCITS ETF 1A (EUR),EUP0,116.0,equity,EUR,Ireland,False,Accumulating,0.2,698.0,Bloomberg PAB Developed Market,,-0.88%,-,-
IE000IX54FW5,iShares US Equity Enhanced Active UCITS ETF GBP Hedged (Acc),Z1J0,0.0,equity,GBP,Ireland,True,Accumulating,0.2,254.0,iShares US Equity Enhanced Active (GBP Hedged),,-,-,-
IE000IY9QFN9,Fidelity US Fundamental Large Cap Core UCITS ETF ACC-USD,FFLC,205.0,equity,USD,Ireland,False,Accumulating,0.38,97.0,Fidelity US Fundamental Large Cap Core,,-,-,-
IE000J80JTL1,First Trust Nasdaq Clean Edge Smart Grid Infrastructure UCITS ETF Acc,GRID,1079.0,equity,USD,Ireland,False,Accumulating,0.63,103.0,Nasdaq OMX Clean Edge Smart Grid Infrastructure,,+26.45%,+69.30%,-
IE000JCGTOP1,Ossiam Bloomberg USA PAB UCITS ETF 1A (EUR Hedged),OP7H,1.0,equity,EUR,Ireland,True,Accumulating,0.15,364.0,Bloomberg PAB US Large & Mid Cap (EUR Hedged),,+6.90%,+50.02%,-
IE000JHYO4T6,UBS MSCI Japan Climate Paris Aligned UCITS ETF ir-hEUR acc,AW1Q,29.0,equity,EUR,Ireland,True,Accumulating,0.15,53.0,MSCI Japan Climate Paris Aligned (EUR Hedged),,+31.56%,+79.75%,-
IE000JIPY1U8,JPMorgan Nasdaq Hedged Equity Laddered Overlay Active UCITS ETF USD (Acc),HEQQ,9.0,equity,USD,Ireland,False,Accumulating,0.5,90.0,J.P. Morgan Nasdaq Hedged Equity Laddered Overlay Active,,-,-,-
IE000JNKVS10,JPMorgan BetaBuilders US Small Cap Equity UCITS ETF USD (acc),JPSC,62.0,equity,USD,Ireland,False,Accumulating,0.13,1280.0,Morningstar US Small Cap Target Market Exposure,,+1.22%,+31.12%,-
IE000JTPK610,iShares MSCI ACWI SRI UCITS ETF USD (Acc),CBUY,82.0,equity,USD,Ireland,False,Accumulating,0.2,560.0,MSCI ACWI SRI Select Reduced Fossil Fuel,,+4.81%,-,-
IE000JZ473P7,HSBC S&P 500 UCITS ETF USD (Acc),H4ZN,420.0,equity,USD,Ireland,False,Accumulating,0.09,502.0,S&P 500®,,-0.89%,+54.50%,-
IE000JZYIUN0,Xtrackers MSCI Global SDG 7 Affordable and Clean Energy UCITS ETF 1C,XDG7,23.0,equity,USD,Ireland,False,Accumulating,0.35,96.0,MSCI ACWI IMI SDG 7 Affordable and Clean Energy Select,,+36.80%,-14.56%,-
IE000K1P4V37,Amundi MSCI World SRI Climate Paris Aligned UCITS ETF Acc EUR Hedged,MWSH,276.0,equity,EUR,Ireland,True,Accumulating,0.2,300.0,MSCI World SRI Filtered PAB (EUR Hedged),MWSH.DE,+13.46%,-,-
IE000K54GGV6,JPMorgan US Research Enhanced Index Equity (ESG) UCITS ETF CHF Hedged (acc),JUHC,58.0,equity,CHF,Ireland,True,Accumulating,0.2,240.0,JP Morgan US Research Enhanced Equity (CHF Hedged),,+13.47%,+66.63%,-
IE000KCS7J59,HSBC MSCI Emerging Markets UCITS ETF USD (Acc),H4Z3,820.0,equity,USD,Ireland,False,Accumulating,0.15,1203.0,MSCI Emerging Markets,,+24.87%,+47.41%,-
IE000KD0BZ68,Xtrackers MSCI Genomic Healthcare Innovation UCITS ETF 1C,XGEN,6.0,equity,USD,Ireland,False,Accumulating,0.3,100.0,MSCI ACWI IMI Genomic Innovation Select Screened 100,,+2.99%,-3.72%,-
IE000KF370H3,WisdomTree US Efficient Core UCITS ETF USD Unhedged Acc,WTEF,19.0,equity,USD,Ireland,False,Accumulating,0.2,459.0,WisdomTree US Efficient Core,,-1.92%,-,-
IE000KHX9DX6,WisdomTree Strategic Metals and Rare Earths Miners UCITS ETF USD Unhedged Acc,RARE,599.0,equity,USD,Ireland,False,Accumulating,0.5,72.0,WisdomTree Strategic Metals and Rare Earths Miners,,+104.43%,-,-
IE000KPJJWM6,Vanguard ESG Emerging Markets All Cap UCITS ETF (USD) Accumulating,V3MA,63.0,equity,USD,Ireland,False,Accumulating,0.19,3793.0,FTSE Emerging All Cap Choice,,+15.70%,+40.82%,-
IE000KXCEXR3,Amundi S&P 500 Screened UCITS ETF Acc,F500,3867.0,equity,EUR,Ireland,False,Accumulating,0.12,307.0,S&P 500 Scored & Screened+,F500.BE,+1.85%,-,-
IE000KXTLDE2,First Trust Bloomberg Global Semiconductor Supply Chain UCITS ETF Class A Accumulation,FCHP,16.0,equity,USD,Ireland,False,Accumulating,0.6,51.0,Bloomberg Semiconductor Supply Chain Select,,+52.63%,-,-
IE000KYX7IP4,Amundi S&P Global Financials ESG UCITS ETF DR EUR (A),WELK,565.0,equity,EUR,Ireland,False,Accumulating,0.18,192.0,S&P Developed Ex-Korea LargeMidCap Sustainability Enhanced Financials,,+5.30%,+57.56%,-
IE000L2IS494,Xtrackers MSCI Global Social Fairness Contributors UCITS ETF 1C,XDGS,3.0,equity,USD,Ireland,False,Accumulating,0.35,208.0,MSCI ACWI IMI SDG Social Fairness Select,,+6.27%,-,-
IE000L2SA8K5,Invesco NASDAQ-100 Equal Weight UCITS ETF Acc,EWQA,103.0,equity,USD,Ireland,False,Accumulating,0.2,101.0,Nasdaq 100® Equal Weighted,,-6.40%,-,-
IE000L4EH2K5,Invesco S&P World Health Care ESG UCITS ETF Acc,WH2E,56.0,equity,USD,Ireland,False,Accumulating,0.18,71.0,S&P Developed Ex-Korea LargeMidCap ESG Enhanced Health Care,,-1.21%,-,-
IE000L5NW549,iShares MSCI World Momentum Factor Advanced UCITS ETF USD (Acc),CBUH,216.0,equity,USD,Ireland,False,Accumulating,0.25,176.0,MSCI World Momentum Advanced Select,,+8.53%,+61.21%,-
IE000LAP5Z18,Amundi S&P 500 Equal Weight ESG UCITS ETF Acc,WELE,1901.0,equity,USD,Ireland,False,Accumulating,0.18,314.0,S&P 500 Equal Weight ESG+,,+0.32%,+24.46%,-
IE000LAUZQT6,Xtrackers MSCI World Value ESG UCITS ETF 1C,XWEV,223.0,equity,USD,Ireland,False,Accumulating,0.25,250.0,MSCI World Value Low Carbon SRI Screened Select,,+18.81%,-,-
IE000LOSV2D0,Xtrackers USA Biodiversity Focus SRI UCITS ETF 1C,XBUZ,10.0,equity,USD,Ireland,False,Accumulating,0.3,253.0,ISS STOXX® US Biodiversity Focus SRI,,-4.55%,-,-
IE000LTA2082,Amundi S&P Global Industrials ESG UCITS ETF DR EUR (A),WELH,743.0,equity,EUR,Ireland,False,Accumulating,0.18,191.0,S&P Developed Ex-Korea LargeMidCap Sustainability Enhanced Industrials,,+14.00%,+57.45%,-
IE000LUZJNI7,Invesco MSCI Europe Equal Weight UCITS ETF Acc,MEEQ,355.0,equity,EUR,Ireland,False,Accumulating,0.2,398.0,MSCI Europe Equal Weighted,,-,-,-
IE000LXEN6X4,iShares EURO STOXX 50 ESG UCITS ETF EUR (Acc),ES50,98.0,equity,EUR,Ireland,False,Accumulating,0.1,51.0,EURO STOXX® 50 ESG,,+16.20%,-,-
IE000LYBU7X5,HSBC MSCI WORLD VALUE SCREENED UCITS ETF USD (Acc),H41D,235.0,equity,USD,Ireland,False,Accumulating,0.25,243.0,MSCI World Value Select Screens Advanced,,+10.79%,+47.59%,-
IE000M4Z0RA5,AXA IM MSCI Emerging Markets ex-China Equity PAB UCITS ETF USD Acc,AXQT,13.0,equity,USD,Ireland,False,Accumulating,0.27,183.0,MSCI Emerging Markets ex China Climate Paris Aligned,,+31.29%,-,-
IE000M86QRT4,Amundi S&P 500 Equal Weight ESG UCITS ETF EUR Hedged Acc,MWOQ,63.0,equity,EUR,Ireland,True,Accumulating,0.2,314.0,S&P 500 Equal Weight ESG+ (EUR Hedged),,+12.58%,-,-
IE000MAO75G5,iShares Core MSCI Europe UCITS ETF EUR (Acc),CEBZ,1438.0,equity,EUR,Ireland,False,Accumulating,0.12,405.0,MSCI Europe,,+14.23%,-,-
IE000MGAVJV3,iShares MSCI USA Climate Transition Aware UCITS ETF USD (Acc),UCTA,5.0,equity,USD,Ireland,False,Accumulating,0.07,289.0,MSCI USA Transition Aware Select,,-3.42%,-,-
IE000MKIH0W7,Fidelity US Quality Value UCITS ETF ACC-USD,FUSV,1.0,equity,USD,Ireland,False,Accumulating,0.2,123.0,Fidelity US Quality Value,,+1.47%,-,-
IE000MLMNYS0,iShares S&P 500 Equal Weight UCITS ETF USD (Acc),O4J0,3400.0,equity,USD,Ireland,False,Accumulating,0.15,504.0,S&P 500® Equal Weight,,-0.48%,+25.10%,-
IE000MU0FDZ8,L&G S&P 100 UCITS ETF USD Acc,SNP1,3.0,equity,USD,Ireland,False,Accumulating,0.15,101.0,S&P 100,,-,-,-
IE000MW6GT38,iShares MSCI Japan Climate Transition Aware UCITS ETF USD (Acc),JCTA,9.0,equity,USD,Ireland,False,Accumulating,0.15,117.0,MSCI Japan Transition Aware Select,,+22.24%,-,-
IE000MYCJA42,Amundi MSCI North America ESG Broad Transition UCITS ETF Acc,WEB1,576.0,equity,EUR,Ireland,False,Accumulating,0.15,561.0,MSCI North America ESG Broad CTB Select,,-1.28%,+51.40%,+77.99%
IE000N1ZEIG9,Invesco S&P 500 CTB Net Zero Pathway ESG UCITS ETF Acc,CTBA,2.0,equity,USD,Ireland,False,Accumulating,0.09,210.0,S&P 500 Climate Transition Base Pathway-Aligned ESG,,-3.23%,-,-
IE000N42HDP2,Invesco Global Active Defensive ESG Equity UCITS ETF Acc,LVLC,4.0,equity,USD,Ireland,False,Accumulating,0.25,371.0,Invesco Global Active Defensive ESG Equity,,+0.73%,+38.31%,-
