isin,name,ticker,size,asset_class,currency,domicile_country,hedged,dividends,ter,number_of_holdings,index,symbol,Fund size,Volatility,1 year,3 year,5 year
IE000BZ1HVL2,SPDR MSCI World UCITS ETF EUR Hedged (Acc),SPFH,688.0,equity,EUR,Ireland,True,Accumulating,0.17,1311.0,MSCI World (EUR Hedged),,EUR 741 m,10.87%,+24.61%,-,-
IE000BZFW5H7,JPMorgan Active US Equity UCITS ETF EUR Hedged (acc),JAUH,5.0,equity,EUR,Ireland,True,Accumulating,0.4,74.0,JPMorgan Active US Equity (EUR Hedged),,EUR 3 m,12.08%,+18.95%,-,-
IE000C5YJ791,iShares MSCI USA Leaders UCITS ETF USD (Acc),ULDE,13.0,equity,USD,Ireland,False,Accumulating,0.12,279.0,MSCI USA Leaders Select,,EUR 14 m,11.91%,+24.28%,-,-
IE000C692SN6,HSBC MSCI World Small Cap Screened UCITS ETF USD (Acc),H41G,124.0,equity,USD,Ireland,False,Accumulating,0.25,1140.0,MSCI World Small Cap Selection Screens,,EUR 129 m,11.99%,+22.76%,+41.63%,-
IE000C6ITGC8,iShares Quantum Computing UCITS ETF USD (Acc),QOMP,11.0,equity,USD,Ireland,False,Accumulating,0.5,,STOXX® Global Quantum Computing,,EUR 39 m,-,-,-,-
IE000C7DDDX4,Franklin FTSE Saudi Arabia UCITS ETF,FLXS,3.0,equity,USD,Ireland,False,Accumulating,0.39,70.0,FTSE Saudi Arabia 30/18 Capped,,EUR 8 m,13.23%,+1.53%,-,-
IE000C7EUDG1,HANetf Future of Defence Indo-Pac ex-China UCITS ETF Accumulating,ASWJ,12.0,equity,USD,Ireland,False,Accumulating,0.59,20.0,VettaFi Future of Defence Indo-Pac ex-China,,EUR 22 m,-,-,-,-
IE000CBYU7J5,L&G Emerging Markets ESG Exclusions Paris Aligned UCITS ETF USD Accumulating ETF,BATI,112.0,equity,USD,Ireland,False,Accumulating,0.25,1282.0,Foxberry Sustainability Consensus Emerging Markets,,EUR 131 m,17.50%,+51.69%,-,-
IE000CFH1JX2,iShares Global Water UCITS ETF USD (Acc),6II0,48.0,equity,USD,Ireland,False,Accumulating,0.65,63.0,S&P Global Water,,EUR 47 m,11.43%,+1.56%,+23.73%,-
IE000CH3OQ51,Invesco MSCI USA UCITS ETF EUR Hedged Acc,MXUE,186.0,equity,EUR,Ireland,True,Accumulating,0.05,,MSCI USA (EUR Hedged),,EUR 396 m,12.56%,+24.87%,-,-
IE000CK5G8J7,iShares Global Infrastructure UCITS ETF USD (Acc),CBUX,78.0,equity,USD,Ireland,False,Accumulating,0.65,265.0,FTSE Global Core Infrastructure,,EUR 133 m,10.61%,+12.03%,+30.13%,-
